Local time,Open,High,Low,Close,Volume
05.06.2009 08:00:00.000 GMT+0800,0.80366,0.81231,0.79166,0.79317,55807.5
06.06.2009 08:00:00.000 GMT+0800,0.79317,0.79317,0.79317,0.79317,0
07.06.2009 08:00:00.000 GMT+0800,0.79740,0.79822,0.79658,0.79739,2359.3
08.06.2009 08:00:00.000 GMT+0800,0.79736,0.79852,0.78269,0.78756,68041.3906
09.06.2009 08:00:00.000 GMT+0800,0.78761,0.80504,0.78517,0.80464,68073.8828
10.06.2009 08:00:00.000 GMT+0800,0.80469,0.81346,0.79674,0.80886,70259.8438
11.06.2009 08:00:00.000 GMT+0800,0.80881,0.82376,0.80716,0.81431,67217.2422
12.06.2009 08:00:00.000 GMT+0800,0.81426,0.81716,0.80576,0.81326,60309.8906
13.06.2009 08:00:00.000 GMT+0800,0.81326,0.81326,0.81326,0.81326,0
14.06.2009 08:00:00.000 GMT+0800,0.80761,0.80924,0.80673,0.80775,1731.26
15.06.2009 08:00:00.000 GMT+0800,0.80773,0.80846,0.78597,0.79001,63772.5508
16.06.2009 08:00:00.000 GMT+0800,0.79005,0.80681,0.78746,0.79218,72169.6406
17.06.2009 08:00:00.000 GMT+0800,0.79223,0.79966,0.78494,0.79571,76976.4609
18.06.2009 08:00:00.000 GMT+0800,0.79576,0.80536,0.79111,0.80046,59214.5117
19.06.2009 08:00:00.000 GMT+0800,0.80059,0.81179,0.80051,0.80540,42890.3516
20.06.2009 08:00:00.000 GMT+0800,0.80540,0.80540,0.80540,0.80540,0
21.06.2009 08:00:00.000 GMT+0800,0.80016,0.80191,0.79928,0.80061,2516.97
22.06.2009 08:00:00.000 GMT+0800,0.80056,0.80266,0.78086,0.78421,65085.6094
23.06.2009 08:00:00.000 GMT+0800,0.78425,0.79786,0.77886,0.79551,73703.6016
24.06.2009 08:00:00.000 GMT+0800,0.79546,0.80546,0.79281,0.79971,67116.1172
25.06.2009 08:00:00.000 GMT+0800,0.79968,0.80435,0.79315,0.80412,114708.4766
26.06.2009 08:00:00.000 GMT+0800,0.80451,0.80870,0.80299,0.80721,87918.8125
27.06.2009 08:00:00.000 GMT+0800,0.80721,0.80721,0.80721,0.80721,0
28.06.2009 08:00:00.000 GMT+0800,0.80654,0.80772,0.80516,0.80695,2344.3899
29.06.2009 08:00:00.000 GMT+0800,0.80695,0.81130,0.79835,0.80970,87838.9688
30.06.2009 08:00:00.000 GMT+0800,0.80980,0.81550,0.80385,0.80670,106465.2031
01.07.2009 08:00:00.000 GMT+0800,0.80678,0.81076,0.80228,0.80526,61905.2305
02.07.2009 08:00:00.000 GMT+0800,0.80521,0.80537,0.78994,0.79606,77502.6875
03.07.2009 08:00:00.000 GMT+0800,0.79611,0.80066,0.79476,0.79747,25260.3203
04.07.2009 08:00:00.000 GMT+0800,0.79747,0.79747,0.79747,0.79747,0
05.07.2009 08:00:00.000 GMT+0800,0.79324,0.79409,0.79123,0.79371,1806.89
06.07.2009 08:00:00.000 GMT+0800,0.79366,0.79801,0.78786,0.79721,50929.2109
07.07.2009 08:00:00.000 GMT+0800,0.79719,0.80376,0.78524,0.78561,60888.4492
08.07.2009 08:00:00.000 GMT+0800,0.78564,0.78906,0.77226,0.78078,67973.6406
09.07.2009 08:00:00.000 GMT+0800,0.78064,0.78611,0.77781,0.78161,52036.7656
10.07.2009 08:00:00.000 GMT+0800,0.78157,0.78331,0.77386,0.77840,61453.8516
11.07.2009 08:00:00.000 GMT+0800,0.77840,0.77840,0.77840,0.77840,0
12.07.2009 08:00:00.000 GMT+0800,0.77946,0.77966,0.77661,0.77714,3536.8301
13.07.2009 08:00:00.000 GMT+0800,0.77715,0.78556,0.77006,0.78499,65960.3672
14.07.2009 08:00:00.000 GMT+0800,0.78494,0.79483,0.78416,0.79403,63507.5117
15.07.2009 08:00:00.000 GMT+0800,0.79398,0.80569,0.79304,0.79884,61614.6289
16.07.2009 08:00:00.000 GMT+0800,0.79879,0.80716,0.79596,0.79993,55013.8984
17.07.2009 08:00:00.000 GMT+0800,0.79986,0.80356,0.79696,0.80161,48351.2891
18.07.2009 08:00:00.000 GMT+0800,0.80161,0.80161,0.80161,0.80161,0
19.07.2009 08:00:00.000 GMT+0800,0.80611,0.80836,0.80576,0.80621,2698.02
20.07.2009 08:00:00.000 GMT+0800,0.80616,0.81798,0.80581,0.81301,49698.6719
21.07.2009 08:00:00.000 GMT+0800,0.81306,0.81926,0.80888,0.81591,54412.4805
22.07.2009 08:00:00.000 GMT+0800,0.81601,0.82136,0.80986,0.81826,53900.5117
23.07.2009 08:00:00.000 GMT+0800,0.81831,0.82226,0.81076,0.81381,48884.2188
24.07.2009 08:00:00.000 GMT+0800,0.81386,0.81886,0.81316,0.81671,40659.7813
25.07.2009 08:00:00.000 GMT+0800,0.81671,0.81671,0.81671,0.81671,0
26.07.2009 08:00:00.000 GMT+0800,0.81831,0.82106,0.81746,0.82076,2022.04
27.07.2009 08:00:00.000 GMT+0800,0.82071,0.82589,0.81798,0.82473,49197.7383
28.07.2009 08:00:00.000 GMT+0800,0.82483,0.83374,0.82226,0.82413,59346.75
29.07.2009 08:00:00.000 GMT+0800,0.82408,0.82658,0.81251,0.81756,62191.6484
30.07.2009 08:00:00.000 GMT+0800,0.81761,0.82886,0.81706,0.82851,53074.6484
31.07.2009 08:00:00.000 GMT+0800,0.82847,0.83654,0.82401,0.83629,46482.2109
01.08.2009 08:00:00.000 GMT+0800,0.83629,0.83629,0.83629,0.83629,0
02.08.2009 08:00:00.000 GMT+0800,0.83646,0.83808,0.83566,0.83711,2207.9299
03.08.2009 08:00:00.000 GMT+0800,0.83716,0.84701,0.83498,0.84441,56424.7109
04.08.2009 08:00:00.000 GMT+0800,0.84436,0.84641,0.83846,0.84406,65143.3789
05.08.2009 08:00:00.000 GMT+0800,0.84402,0.84596,0.83609,0.84171,58782.8398
06.08.2009 08:00:00.000 GMT+0800,0.84166,0.84557,0.83651,0.83771,49379.9297
07.08.2009 08:00:00.000 GMT+0800,0.83766,0.84421,0.83446,0.83551,50535.3906
08.08.2009 08:00:00.000 GMT+0800,0.83551,0.83551,0.83551,0.83551,0
09.08.2009 08:00:00.000 GMT+0800,0.83894,0.84036,0.83814,0.83928,1327
10.08.2009 08:00:00.000 GMT+0800,0.83931,0.84296,0.83196,0.83406,46676.8594
11.08.2009 08:00:00.000 GMT+0800,0.83411,0.83888,0.82406,0.82466,50736.3711
12.08.2009 08:00:00.000 GMT+0800,0.82469,0.83701,0.81796,0.83523,60948.6211
13.08.2009 08:00:00.000 GMT+0800,0.83527,0.84775,0.83509,0.84211,51393.2383
14.08.2009 08:00:00.000 GMT+0800,0.84219,0.84434,0.82746,0.83012,49123.0586
15.08.2009 08:00:00.000 GMT+0800,0.83012,0.83012,0.83012,0.83012,0
16.08.2009 08:00:00.000 GMT+0800,0.82373,0.82551,0.82226,0.82281,2828.0801
17.08.2009 08:00:00.000 GMT+0800,0.82286,0.82637,0.81556,0.82358,68089.4297
18.08.2009 08:00:00.000 GMT+0800,0.82363,0.83053,0.81956,0.82771,67471.3125
19.08.2009 08:00:00.000 GMT+0800,0.82766,0.83175,0.81747,0.82966,79384.2969
20.08.2009 08:00:00.000 GMT+0800,0.82967,0.83326,0.82256,0.82371,54657.8086
21.08.2009 08:00:00.000 GMT+0800,0.82370,0.83961,0.82151,0.83324,59511.2813
22.08.2009 08:00:00.000 GMT+0800,0.83324,0.83324,0.83324,0.83324,0
23.08.2009 08:00:00.000 GMT+0800,0.84029,0.84051,0.83888,0.83951,2257.6699
24.08.2009 08:00:00.000 GMT+0800,0.83949,0.84289,0.83456,0.83676,49276.1406
25.08.2009 08:00:00.000 GMT+0800,0.83681,0.84281,0.83306,0.83711,56120.1211
26.08.2009 08:00:00.000 GMT+0800,0.83706,0.83884,0.82386,0.82716,61222.5117
27.08.2009 08:00:00.000 GMT+0800,0.82711,0.84173,0.82626,0.83873,51640.2031
28.08.2009 08:00:00.000 GMT+0800,0.83868,0.84703,0.83786,0.84142,45397.2813
29.08.2009 08:00:00.000 GMT+0800,0.84142,0.84142,0.84142,0.84142,0
30.08.2009 08:00:00.000 GMT+0800,0.84142,0.84221,0.83796,0.83959,4089.4199
31.08.2009 08:00:00.000 GMT+0800,0.83961,0.84581,0.83386,0.84446,46139.2383
01.09.2009 08:00:00.000 GMT+0800,0.84445,0.84491,0.82391,0.82941,71403.7813
02.09.2009 08:00:00.000 GMT+0800,0.82945,0.83733,0.82798,0.83551,61400.3594
03.09.2009 08:00:00.000 GMT+0800,0.83556,0.84276,0.83446,0.83986,47116.9688
04.09.2009 08:00:00.000 GMT+0800,0.83981,0.85351,0.83898,0.85071,48037.8984
05.09.2009 08:00:00.000 GMT+0800,0.85071,0.85071,0.85071,0.85071,0
06.09.2009 08:00:00.000 GMT+0800,0.85204,0.85231,0.85124,0.85171,1204.8
07.09.2009 08:00:00.000 GMT+0800,0.85176,0.85766,0.85096,0.85481,23781.3496
08.09.2009 08:00:00.000 GMT+0800,0.85477,0.86605,0.85417,0.85861,60356.9414
09.09.2009 08:00:00.000 GMT+0800,0.85862,0.86686,0.85649,0.86010,65195.2109
10.09.2009 08:00:00.000 GMT+0800,0.86005,0.86479,0.85451,0.86423,51862.8086
11.09.2009 08:00:00.000 GMT+0800,0.86418,0.86756,0.86131,0.86281,54166.2188
12.09.2009 08:00:00.000 GMT+0800,0.86281,0.86281,0.86281,0.86281,0
13.09.2009 08:00:00.000 GMT+0800,0.85661,0.85821,0.85618,0.85716,1568.78
14.09.2009 08:00:00.000 GMT+0800,0.85711,0.86391,0.85436,0.86089,45375.4414
15.09.2009 08:00:00.000 GMT+0800,0.86093,0.86666,0.85633,0.86636,56537.8984
16.09.2009 08:00:00.000 GMT+0800,0.86631,0.87561,0.86516,0.87435,54809.6992
17.09.2009 08:00:00.000 GMT+0800,0.87429,0.87752,0.86796,0.87036,44658.0508
18.09.2009 08:00:00.000 GMT+0800,0.87035,0.87181,0.86533,0.86687,43876.2891
19.09.2009 08:00:00.000 GMT+0800,0.86687,0.86687,0.86687,0.86687,0
20.09.2009 08:00:00.000 GMT+0800,0.86582,0.86716,0.86511,0.86656,902.95
21.09.2009 08:00:00.000 GMT+0800,0.86661,0.86826,0.85895,0.86436,49232.8516
22.09.2009 08:00:00.000 GMT+0800,0.86441,0.87876,0.86406,0.87629,43972.9609
23.09.2009 08:00:00.000 GMT+0800,0.87624,0.87891,0.86456,0.86934,55990.1484
24.09.2009 08:00:00.000 GMT+0800,0.86935,0.87691,0.86074,0.86294,57004.7383
25.09.2009 08:00:00.000 GMT+0800,0.86285,0.87134,0.86094,0.86512,64674.7695
26.09.2009 08:00:00.000 GMT+0800,0.86512,0.86512,0.86512,0.86512,0
27.09.2009 08:00:00.000 GMT+0800,0.86702,0.86937,0.86454,0.86565,54252.1133
28.09.2009 08:00:00.000 GMT+0800,0.86559,0.87556,0.85855,0.87261,47414.5781
29.09.2009 08:00:00.000 GMT+0800,0.87264,0.87616,0.86749,0.87400,62604.0781
30.09.2009 08:00:00.000 GMT+0800,0.87402,0.88467,0.87328,0.88366,65371.9414
01.10.2009 08:00:00.000 GMT+0800,0.88369,0.88585,0.86731,0.86740,56513.0195
02.10.2009 08:00:00.000 GMT+0800,0.86745,0.87126,0.85681,0.86346,65593.6172
03.10.2009 08:00:00.000 GMT+0800,0.86346,0.86346,0.86346,0.86346,0
04.10.2009 08:00:00.000 GMT+0800,0.86531,0.86783,0.86457,0.86775,1147.99
05.10.2009 08:00:00.000 GMT+0800,0.86780,0.87966,0.86770,0.87718,46417.9609
06.10.2009 08:00:00.000 GMT+0800,0.87714,0.89189,0.87531,0.88981,55207.8281
07.10.2009 08:00:00.000 GMT+0800,0.88986,0.89508,0.88669,0.89317,59621.1406
08.10.2009 08:00:00.000 GMT+0800,0.89312,0.90901,0.89228,0.90410,48759.4609
09.10.2009 08:00:00.000 GMT+0800,0.90400,0.90836,0.90123,0.90350,56322.6094
10.10.2009 08:00:00.000 GMT+0800,0.90350,0.90350,0.90350,0.90350,0
11.10.2009 08:00:00.000 GMT+0800,0.90383,0.90592,0.90375,0.90486,1370.41
12.10.2009 08:00:00.000 GMT+0800,0.90488,0.90946,0.89831,0.90816,41689.7188
13.10.2009 08:00:00.000 GMT+0800,0.90821,0.91259,0.90318,0.90713,57627.7695
14.10.2009 08:00:00.000 GMT+0800,0.90718,0.91746,0.90636,0.91711,58867.8789
15.10.2009 08:00:00.000 GMT+0800,0.91715,0.92475,0.91506,0.92450,50223.25
16.10.2009 08:00:00.000 GMT+0800,0.92455,0.92698,0.91226,0.91685,57752.0117
17.10.2009 08:00:00.000 GMT+0800,0.91685,0.91685,0.91685,0.91685,0
18.10.2009 08:00:00.000 GMT+0800,0.91479,0.91676,0.91397,0.91547,2138.5901
19.10.2009 08:00:00.000 GMT+0800,0.91552,0.92931,0.91125,0.92851,49951.0781
20.10.2009 08:00:00.000 GMT+0800,0.92856,0.93101,0.91810,0.92411,52355.4297
21.10.2009 08:00:00.000 GMT+0800,0.92406,0.93281,0.91920,0.92743,63218.5586
22.10.2009 08:00:00.000 GMT+0800,0.92738,0.92980,0.91846,0.92839,53736.3125
23.10.2009 08:00:00.000 GMT+0800,0.92844,0.92951,0.91986,0.92196,55991.5117
24.10.2009 08:00:00.000 GMT+0800,0.92196,0.92196,0.92196,0.92196,0
