Local time,Open,High,Low,Close,Volume
05.06.2009 08:00:00.000 GMT+0800,1.61100,1.62425,1.59390,1.59725,326851.9688
06.06.2009 08:00:00.000 GMT+0800,1.59725,1.59725,1.59725,1.59725,0
07.06.2009 08:00:00.000 GMT+0800,1.59767,1.59767,1.59199,1.59695,21699.3496
08.06.2009 08:00:00.000 GMT+0800,1.59695,1.61035,1.58020,1.60875,330997.7188
09.06.2009 08:00:00.000 GMT+0800,1.60850,1.63615,1.59860,1.63090,343838.4375
10.06.2009 08:00:00.000 GMT+0800,1.63095,1.64730,1.62395,1.63585,287438.9063
11.06.2009 08:00:00.000 GMT+0800,1.63585,1.66220,1.63395,1.65945,281744.0938
12.06.2009 08:00:00.000 GMT+0800,1.65945,1.65975,1.63280,1.64470,236689.6406
13.06.2009 08:00:00.000 GMT+0800,1.64470,1.64470,1.64470,1.64470,0
14.06.2009 08:00:00.000 GMT+0800,1.64413,1.64498,1.63913,1.64130,22999.1133
15.06.2009 08:00:00.000 GMT+0800,1.64138,1.64273,1.62417,1.62701,134486.2188
16.06.2009 08:00:00.000 GMT+0800,1.62712,1.65001,1.62142,1.63601,133342.2656
17.06.2009 08:00:00.000 GMT+0800,1.63593,1.64776,1.62193,1.64256,133371.2656
18.06.2009 08:00:00.000 GMT+0800,1.64261,1.64678,1.61859,1.63550,133603.5313
19.06.2009 08:00:00.000 GMT+0800,1.63547,1.65615,1.63020,1.64949,206117.3125
20.06.2009 08:00:00.000 GMT+0800,1.64949,1.64949,1.64949,1.64949,0
21.06.2009 08:00:00.000 GMT+0800,1.65010,1.65135,1.64560,1.64800,8494.2002
22.06.2009 08:00:00.000 GMT+0800,1.64800,1.65155,1.63015,1.63135,327145.375
23.06.2009 08:00:00.000 GMT+0800,1.63135,1.64735,1.62085,1.64385,354607.5313
24.06.2009 08:00:00.000 GMT+0800,1.64365,1.66015,1.63685,1.64335,366283.625
25.06.2009 08:00:00.000 GMT+0800,1.64335,1.64675,1.62320,1.64142,399825.4688
26.06.2009 08:00:00.000 GMT+0800,1.64152,1.65605,1.63688,1.65157,287309.6563
27.06.2009 08:00:00.000 GMT+0800,1.65157,1.65157,1.65157,1.65157,0
28.06.2009 08:00:00.000 GMT+0800,1.65190,1.65240,1.64900,1.65130,14227.5596
29.06.2009 08:00:00.000 GMT+0800,1.65105,1.65990,1.64275,1.65710,291165.0938
30.06.2009 08:00:00.000 GMT+0800,1.65710,1.67440,1.64215,1.64760,390243.2188
01.07.2009 08:00:00.000 GMT+0800,1.64745,1.65445,1.63835,1.64950,348777.7813
02.07.2009 08:00:00.000 GMT+0800,1.64945,1.64995,1.63235,1.63475,340710.7188
03.07.2009 08:00:00.000 GMT+0800,1.63475,1.64290,1.62903,1.63377,205635.9844
04.07.2009 08:00:00.000 GMT+0800,1.63377,1.63377,1.63377,1.63377,0
05.07.2009 08:00:00.000 GMT+0800,1.63365,1.63431,1.62800,1.63065,18138.25
06.07.2009 08:00:00.000 GMT+0800,1.63050,1.63280,1.60950,1.62925,433329.375
07.07.2009 08:00:00.000 GMT+0800,1.62930,1.62950,1.60675,1.60795,433456.0625
08.07.2009 08:00:00.000 GMT+0800,1.60795,1.61385,1.59830,1.60375,372329.375
09.07.2009 08:00:00.000 GMT+0800,1.60375,1.63805,1.60350,1.63295,376115.3438
10.07.2009 08:00:00.000 GMT+0800,1.63295,1.63300,1.61545,1.62105,369064.25
11.07.2009 08:00:00.000 GMT+0800,1.62105,1.62105,1.62105,1.62105,0
12.07.2009 08:00:00.000 GMT+0800,1.61970,1.62128,1.61770,1.61960,10293.5996
13.07.2009 08:00:00.000 GMT+0800,1.61950,1.62860,1.60330,1.62705,403987.5313
14.07.2009 08:00:00.000 GMT+0800,1.62705,1.63440,1.62280,1.63360,362051.125
15.07.2009 08:00:00.000 GMT+0800,1.63355,1.64690,1.63010,1.64240,333804.875
16.07.2009 08:00:00.000 GMT+0800,1.64235,1.64785,1.63545,1.64095,337146.4375
17.07.2009 08:00:00.000 GMT+0800,1.64090,1.64195,1.62655,1.63305,432178.9688
18.07.2009 08:00:00.000 GMT+0800,1.63305,1.63305,1.63305,1.63305,0
19.07.2009 08:00:00.000 GMT+0800,1.63273,1.63755,1.63164,1.63735,14897.8799
20.07.2009 08:00:00.000 GMT+0800,1.63735,1.65570,1.63655,1.65210,367122.0625
21.07.2009 08:00:00.000 GMT+0800,1.65210,1.65285,1.63830,1.64145,446406.3125
