Local time,Open,High,Low,Close,Volume
05.06.2009 08:00:00.000 GMT+0800,1.09925,1.12085,1.09600,1.11898,215915.0469
06.06.2009 08:00:00.000 GMT+0800,1.11898,1.11898,1.11898,1.11898,0
07.06.2009 08:00:00.000 GMT+0800,1.11898,1.12045,1.11755,1.11820,36976.8984
08.06.2009 08:00:00.000 GMT+0800,1.11820,1.12905,1.11395,1.11400,243312
09.06.2009 08:00:00.000 GMT+0800,1.11400,1.11960,1.09805,1.10500,230527.7656
10.06.2009 08:00:00.000 GMT+0800,1.10500,1.11635,1.09390,1.10800,247768.5
11.06.2009 08:00:00.000 GMT+0800,1.10810,1.10830,1.09490,1.10105,229335.875
12.06.2009 08:00:00.000 GMT+0800,1.10105,1.12480,1.10094,1.11818,196627.1563
13.06.2009 08:00:00.000 GMT+0800,1.11818,1.11818,1.11818,1.11818,0
14.06.2009 08:00:00.000 GMT+0800,1.11872,1.12065,1.11758,1.12035,37478.1992
15.06.2009 08:00:00.000 GMT+0800,1.12024,1.13738,1.11826,1.13362,68608.8984
16.06.2009 08:00:00.000 GMT+0800,1.13357,1.13719,1.12170,1.13663,69271.5
17.06.2009 08:00:00.000 GMT+0800,1.13649,1.14462,1.12680,1.12935,69083
18.06.2009 08:00:00.000 GMT+0800,1.12939,1.13623,1.12310,1.13216,68177.2031
19.06.2009 08:00:00.000 GMT+0800,1.13202,1.13640,1.12447,1.13425,109682.2031
20.06.2009 08:00:00.000 GMT+0800,1.13425,1.13425,1.13425,1.13425,0
21.06.2009 08:00:00.000 GMT+0800,1.13520,1.13769,1.13190,1.13500,16817.6992
22.06.2009 08:00:00.000 GMT+0800,1.13500,1.15555,1.13475,1.15470,135710.4375
23.06.2009 08:00:00.000 GMT+0800,1.15470,1.15825,1.14640,1.14965,174660.5313
24.06.2009 08:00:00.000 GMT+0800,1.14965,1.15830,1.14175,1.15513,157198.6406
25.06.2009 08:00:00.000 GMT+0800,1.15520,1.16365,1.15240,1.15368,116039
26.06.2009 08:00:00.000 GMT+0800,1.15342,1.15640,1.14445,1.15279,121312.9219
27.06.2009 08:00:00.000 GMT+0800,1.15279,1.15279,1.15279,1.15279,0
28.06.2009 08:00:00.000 GMT+0800,1.15225,1.15425,1.15122,1.15300,18387.8008
29.06.2009 08:00:00.000 GMT+0800,1.15295,1.15995,1.15080,1.15570,154317.7969
30.06.2009 08:00:00.000 GMT+0800,1.15570,1.16400,1.15090,1.16210,190148.0625
01.07.2009 08:00:00.000 GMT+0800,1.16210,1.16535,1.14370,1.14890,176898.4063
02.07.2009 08:00:00.000 GMT+0800,1.14890,1.16375,1.14705,1.16275,143750.5938
03.07.2009 08:00:00.000 GMT+0800,1.16275,1.16335,1.15615,1.16048,88723.5
