Local time,Open,High,Low,Close,Volume
05.06.2009 08:00:00.000 GMT+0800,1.06955,1.09070,1.06630,1.08524,635590.375
06.06.2009 08:00:00.000 GMT+0800,1.08524,1.08524,1.08524,1.08524,0
07.06.2009 08:00:00.000 GMT+0800,1.08530,1.08950,1.08452,1.08570,39473.3008
08.06.2009 08:00:00.000 GMT+0800,1.08570,1.09860,1.08345,1.08960,752520.1875
09.06.2009 08:00:00.000 GMT+0800,1.08960,1.09530,1.07615,1.07875,743003.5
10.06.2009 08:00:00.000 GMT+0800,1.07875,1.08575,1.07185,1.08025,718501.125
11.06.2009 08:00:00.000 GMT+0800,1.08030,1.08400,1.06495,1.06890,716053.6875
12.06.2009 08:00:00.000 GMT+0800,1.06900,1.08470,1.06885,1.07908,673879
13.06.2009 08:00:00.000 GMT+0800,1.07908,1.07908,1.07908,1.07908,0
14.06.2009 08:00:00.000 GMT+0800,1.07883,1.08147,1.07716,1.07982,73035.7969
15.06.2009 08:00:00.000 GMT+0800,1.07982,1.09491,1.07898,1.09304,259958.2031
16.06.2009 08:00:00.000 GMT+0800,1.09302,1.09546,1.08202,1.08944,260784.0938
17.06.2009 08:00:00.000 GMT+0800,1.08955,1.09222,1.07621,1.07806,258793.5938
18.06.2009 08:00:00.000 GMT+0800,1.07801,1.08965,1.07594,1.08595,258334.7031
19.06.2009 08:00:00.000 GMT+0800,1.08600,1.08908,1.07645,1.07992,415222.8125
20.06.2009 08:00:00.000 GMT+0800,1.07992,1.07992,1.07992,1.07992,0
21.06.2009 08:00:00.000 GMT+0800,1.08038,1.08180,1.07820,1.08110,26334.3008
22.06.2009 08:00:00.000 GMT+0800,1.08110,1.08965,1.08110,1.08690,738772.9375
23.06.2009 08:00:00.000 GMT+0800,1.08695,1.08815,1.06420,1.06735,824651.125
24.06.2009 08:00:00.000 GMT+0800,1.06735,1.10220,1.06320,1.09715,702151.375
25.06.2009 08:00:00.000 GMT+0800,1.09715,1.10180,1.09179,1.09224,595128.4375
