Local time,Open,High,Low,Close,Volume
05.06.2009 08:00:00.000 GMT+0800,96.640,98.880,96.560,98.619,493994.5
06.06.2009 08:00:00.000 GMT+0800,98.619,98.619,98.619,98.619,0
07.06.2009 08:00:00.000 GMT+0800,98.645,98.785,98.435,98.660,55888.3594
08.06.2009 08:00:00.000 GMT+0800,98.660,98.855,98.200,98.470,631425.25
09.06.2009 08:00:00.000 GMT+0800,98.470,98.545,97.250,97.415,630218.5625
10.06.2009 08:00:00.000 GMT+0800,97.405,98.440,97.085,98.215,564262.125
11.06.2009 08:00:00.000 GMT+0800,98.215,98.555,97.290,97.550,496837.6875
12.06.2009 08:00:00.000 GMT+0800,97.545,98.439,97.510,98.365,526744.875
13.06.2009 08:00:00.000 GMT+0800,98.365,98.365,98.365,98.365,0
14.06.2009 08:00:00.000 GMT+0800,98.410,98.561,97.950,98.398,111187.8984
15.06.2009 08:00:00.000 GMT+0800,98.398,98.561,97.545,97.620,156025.2031
16.06.2009 08:00:00.000 GMT+0800,97.613,97.700,95.951,95.977,155843.9063
17.06.2009 08:00:00.000 GMT+0800,95.985,96.767,95.486,95.945,157858
18.06.2009 08:00:00.000 GMT+0800,95.939,96.672,95.594,96.666,155241
19.06.2009 08:00:00.000 GMT+0800,96.673,97.167,96.000,96.213,224446.5938
20.06.2009 08:00:00.000 GMT+0800,96.213,96.213,96.213,96.213,0
21.06.2009 08:00:00.000 GMT+0800,96.208,96.325,95.975,96.085,18198.1992
22.06.2009 08:00:00.000 GMT+0800,96.080,96.270,95.315,95.425,474747
23.06.2009 08:00:00.000 GMT+0800,95.425,95.890,94.875,95.330,502916.6563
24.06.2009 08:00:00.000 GMT+0800,95.325,96.050,95.080,95.705,468298.9063
25.06.2009 08:00:00.000 GMT+0800,95.700,96.565,95.650,95.773,524719
26.06.2009 08:00:00.000 GMT+0800,95.740,96.034,95.040,95.118,377006.4063
27.06.2009 08:00:00.000 GMT+0800,95.118,95.118,95.118,95.118,0
28.06.2009 08:00:00.000 GMT+0800,95.162,95.382,95.062,95.160,43184.3516
29.06.2009 08:00:00.000 GMT+0800,95.170,96.280,95.170,96.155,373541.5
30.06.2009 08:00:00.000 GMT+0800,96.145,96.510,95.310,96.235,526604.9375
01.07.2009 08:00:00.000 GMT+0800,96.235,96.985,96.165,96.515,497076.0938
02.07.2009 08:00:00.000 GMT+0800,96.515,96.880,95.695,95.815,344680.0938
03.07.2009 08:00:00.000 GMT+0800,95.820,96.120,95.695,96.040,285193.7813
04.07.2009 08:00:00.000 GMT+0800,96.040,96.040,96.040,96.040,0
05.07.2009 08:00:00.000 GMT+0800,95.985,96.224,95.840,95.870,64626.1992
06.07.2009 08:00:00.000 GMT+0800,95.865,95.865,94.660,95.220,692235.875
07.07.2009 08:00:00.000 GMT+0800,95.215,95.455,94.595,94.620,783080.1875
08.07.2009 08:00:00.000 GMT+0800,94.620,94.730,91.780,92.705,901687.5625
09.07.2009 08:00:00.000 GMT+0800,92.705,93.600,92.510,93.155,983239.625
10.07.2009 08:00:00.000 GMT+0800,93.155,93.185,91.775,92.470,816713.6875
11.07.2009 08:00:00.000 GMT+0800,92.470,92.470,92.470,92.470,0
12.07.2009 08:00:00.000 GMT+0800,92.505,92.538,92.337,92.460,71663.7969
13.07.2009 08:00:00.000 GMT+0800,92.460,93.155,91.735,93.095,1125939.625
14.07.2009 08:00:00.000 GMT+0800,93.095,93.760,92.710,93.640,1269353.75
15.07.2009 08:00:00.000 GMT+0800,93.635,94.470,93.260,94.315,984315.8125
16.07.2009 08:00:00.000 GMT+0800,94.300,94.450,93.265,93.705,810798.25
17.07.2009 08:00:00.000 GMT+0800,93.695,94.375,93.475,94.232,813904.375
18.07.2009 08:00:00.000 GMT+0800,94.232,94.232,94.232,94.232,0
19.07.2009 08:00:00.000 GMT+0800,94.180,94.385,94.162,94.360,86670.1172
20.07.2009 08:00:00.000 GMT+0800,94.355,94.780,93.950,94.155,908783.625
21.07.2009 08:00:00.000 GMT+0800,94.145,94.390,93.285,93.540,851710.6875
22.07.2009 08:00:00.000 GMT+0800,93.540,93.870,93.090,93.580,866411.5
23.07.2009 08:00:00.000 GMT+0800,93.580,95.295,93.575,94.960,1002276
24.07.2009 08:00:00.000 GMT+0800,94.965,95.020,94.590,94.774,778926
25.07.2009 08:00:00.000 GMT+0800,94.774,94.774,94.774,94.774,0
26.07.2009 08:00:00.000 GMT+0800,94.770,94.908,94.665,94.720,76817.3984
27.07.2009 08:00:00.000 GMT+0800,94.715,95.380,94.680,95.175,797851.5
28.07.2009 08:00:00.000 GMT+0800,95.165,95.175,94.035,94.420,846578.5
29.07.2009 08:00:00.000 GMT+0800,94.420,95.360,94.015,95.105,944748.375
30.07.2009 08:00:00.000 GMT+0800,95.105,95.885,94.825,95.560,772721.125
31.07.2009 08:00:00.000 GMT+0800,95.560,95.820,94.495,94.638,791104.5
01.08.2009 08:00:00.000 GMT+0800,94.638,94.638,94.638,94.638,0
02.08.2009 08:00:00.000 GMT+0800,94.648,94.830,94.620,94.640,95032.6016
03.08.2009 08:00:00.000 GMT+0800,94.635,95.430,94.590,95.175,716116.9375
04.08.2009 08:00:00.000 GMT+0800,95.175,95.465,94.360,95.305,768793.9375
05.08.2009 08:00:00.000 GMT+0800,95.300,95.385,94.625,94.800,832969.3125
06.08.2009 08:00:00.000 GMT+0800,94.800,95.805,94.800,95.480,886206.875
07.08.2009 08:00:00.000 GMT+0800,95.480,97.785,95.050,97.386,443091.5625
08.08.2009 08:00:00.000 GMT+0800,97.386,97.386,97.386,97.386,0
09.08.2009 08:00:00.000 GMT+0800,97.495,97.745,97.315,97.350,85041.5
10.08.2009 08:00:00.000 GMT+0800,97.345,97.500,96.860,97.010,364681.75
11.08.2009 08:00:00.000 GMT+0800,97.010,97.045,95.760,95.940,472112.125
12.08.2009 08:00:00.000 GMT+0800,95.940,96.760,95.120,96.185,499654.3438
13.08.2009 08:00:00.000 GMT+0800,96.180,96.485,95.035,95.285,384276.875
14.08.2009 08:00:00.000 GMT+0800,95.285,95.460,94.425,94.900,390283.0313
15.08.2009 08:00:00.000 GMT+0800,94.900,94.900,94.900,94.900,0
16.08.2009 08:00:00.000 GMT+0800,94.888,94.888,94.629,94.720,39491.6016
17.08.2009 08:00:00.000 GMT+0800,94.710,94.755,94.200,94.460,526730
18.08.2009 08:00:00.000 GMT+0800,94.470,95.285,94.460,94.870,492292
19.08.2009 08:00:00.000 GMT+0800,94.870,94.880,93.665,94.110,499787.4063
20.08.2009 08:00:00.000 GMT+0800,94.110,94.555,93.860,94.250,425871.5313
21.08.2009 08:00:00.000 GMT+0800,94.250,94.720,93.420,94.416,408455.9063
22.08.2009 08:00:00.000 GMT+0800,94.416,94.416,94.416,94.416,0
23.08.2009 08:00:00.000 GMT+0800,94.355,94.695,94.220,94.575,43364.5
24.08.2009 08:00:00.000 GMT+0800,94.575,95.065,94.355,94.390,535819.6875
25.08.2009 08:00:00.000 GMT+0800,94.390,94.640,93.785,93.935,507452.9375
26.08.2009 08:00:00.000 GMT+0800,93.940,94.570,93.895,94.095,479537.3125
27.08.2009 08:00:00.000 GMT+0800,94.095,94.140,93.205,93.645,573880.0625
28.08.2009 08:00:00.000 GMT+0800,93.645,94.075,93.415,93.586,462753.5
29.08.2009 08:00:00.000 GMT+0800,93.586,93.586,93.586,93.586,0
30.08.2009 08:00:00.000 GMT+0800,93.623,93.627,93.195,93.375,44846.6016
31.08.2009 08:00:00.000 GMT+0800,93.380,93.450,92.540,92.885,434028.0625
01.09.2009 08:00:00.000 GMT+0800,92.885,93.440,92.515,92.700,556855.3125
02.09.2009 08:00:00.000 GMT+0800,92.700,93.055,92.080,92.230,539770.625
03.09.2009 08:00:00.000 GMT+0800,92.230,92.780,91.945,92.700,425222
04.09.2009 08:00:00.000 GMT+0800,92.700,93.245,92.270,93.015,338395.5
05.09.2009 08:00:00.000 GMT+0800,93.015,93.015,93.015,93.015,0
06.09.2009 08:00:00.000 GMT+0800,92.982,93.180,92.888,93.165,46940.3398
07.09.2009 08:00:00.000 GMT+0800,93.165,93.300,92.805,92.930,235815.4688
08.09.2009 08:00:00.000 GMT+0800,92.930,92.990,92.035,92.320,352885.5
09.09.2009 08:00:00.000 GMT+0800,92.320,92.590,91.610,92.150,387381.0313
